"TLD","TLDLength","NoOfSubDomain","NoOfAmpersandInURL","LineOfCode","HasTitle","HasFavicon","Robots","NoOfSelfRedirect","NoOfPopup","NoOfiFrame","HasExternalFormSubmit","HasPasswordField","Bank","Pay","Crypto","NoOfImage","NoOfCSS","NoOfJS","label"
258,3,1,0,231,1,1,1,0,0,0,0,0,0,1,0,12,7,10,1
96,3,1,0,359,1,0,1,0,0,0,0,0,0,1,0,28,12,8,1
84,2,1,0,349,1,1,1,0,0,1,0,0,0,0,0,4,2,3,1
96,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3,1,0,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,568,1,0,1,0,0,0,0,1,0,0,0,22,2,3,1
258,3,1,0,1822,1,1,1,0,0,1,0,0,0,1,0,16,24,103,1
96,3,1,0,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,4716,1,1,0,0,0,18,0,0,0,1,0,34,8,20,1
150,3,1,0,1596,1,1,0,0,0,2,0,0,0,0,0,14,3,48,1
290,2,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,3,1,0,3326,1,1,0,0,0,1,0,0,0,0,0,15,8,9,1
258,3,1,0,2010,1,1,0,0,0,0,0,0,0,0,0,6,2,11,1
45,3,1,0,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2,2,0,2211,1,0,0,0,0,19,0,1,1,1,0,53,2,18,1
96,3,1,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
242,3,1,0,175,1,1,0,0,0,0,0,0,0,0,0,3,2,8,1
48,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,708,1,1,1,0,0,0,1,0,0,1,0,19,15,12,1
96,3,1,0,840,1,0,1,0,0,1,0,0,0,0,0,34,4,14,1
96,3,1,0,499,1,1,0,0,0,0,0,0,0,0,0,13,7,12,1
150,3,2,0,543,1,0,0,0,0,1,0,1,1,1,0,22,5,11,1
296,2,1,0,1482,1,1,0,0,0,0,0,0,0,0,0,3,12,25,1
96,3,1,0,611,1,0,0,0,2,0,0,0,0,0,0,5,1,5,1
290,2,2,0,120,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
287,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,2659,1,1,0,0,5,3,0,1,0,1,0,47,6,25,1
96,3,1,0,8091,1,1,1,0,0,3,0,0,0,1,0,82,71,34,1
91,4,2,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2,2,0,3760,1,0,1,0,0,7,0,0,0,1,0,92,15,31,1
96,3,1,0,2689,1,0,1,0,0,2,0,0,1,1,0,47,7,29,1
96,3,1,0,296,1,1,0,0,0,0,0,0,0,0,0,26,2,6,1
96,3,1,1,8,1,1,0,1,0,2,0,0,0,0,0,1,1,2,0
96,3,1,0,2926,1,0,1,0,0,0,0,0,0,0,0,34,27,64,1
131,7,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,3,1,0,7574,1,1,0,0,0,3,0,0,1,1,1,75,10,24,1
96,3,2,0,588,1,1,1,0,0,0,0,0,0,0,0,7,4,7,1
248,2,1,0,372,1,1,1,0,0,0,1,0,0,0,0,5,14,19,1
96,3,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
258,3,1,0,608,1,1,0,0,0,0,0,0,0,1,0,12,2,12,1
128,2,0,0,58,1,0,0,0,0,0,0,1,0,0,0,1,1,6,0
205,4,2,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,2,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,2,2,0,663,1,0,1,0,1,0,0,0,0,1,0,29,21,30,1
258,3,1,0,860,1,1,0,0,0,1,0,0,0,0,0,21,12,13,1
96,3,1,0,268,1,1,0,0,0,0,0,0,0,1,0,13,9,12,1
258,3,1,0,358,1,1,0,0,0,0,0,0,0,0,0,9,3,7,1
96,3,1,0,2067,1,0,1,0,0,0,0,0,1,1,0,8,9,11,1
96,3,1,0,723,1,1,1,0,2,0,1,0,0,0,0,16,19,19,1
302,4,1,0,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,553,1,1,0,0,0,1,0,0,0,0,0,24,4,10,1
290,2,1,0,1066,1,1,0,0,0,0,0,0,0,0,0,34,2,12,1
183,2,1,0,708,1,0,1,0,0,3,0,0,0,0,0,6,21,12,1
96,3,1,0,95,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0
96,3,1,0,268,1,1,0,0,1,0,0,0,0,1,0,9,2,9,1
96,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,972,1,1,1,0,1,0,0,1,0,0,0,24,9,34,1
96,3,2,0,616,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0
242,3,1,0,689,1,0,0,0,0,0,0,0,1,0,0,25,18,22,1
205,4,2,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,2,2,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,737,1,0,0,0,0,0,0,0,0,1,0,20,8,10,1
258,3,1,0,852,1,0,1,0,0,0,0,0,0,1,0,21,4,5,1
258,3,1,0,1637,1,1,0,0,0,0,0,0,0,0,0,2,1,3,1
79,3,1,0,1289,1,1,0,0,0,1,0,1,0,0,0,25,51,14,1
258,3,1,0,1506,1,0,0,0,0,1,0,0,1,1,0,68,9,10,1
94,2,2,0,198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,3,1,0,2427,1,1,0,0,0,3,0,0,0,0,0,57,38,29,1
290,2,1,0,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
96,3,1,0,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,2,1,0,95,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0
96,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,2541,1,1,1,0,0,7,0,1,0,0,0,67,12,56,1
303,2,1,0,5464,1,0,0,0,1,0,0,0,0,0,0,224,11,27,1
113,3,1,0,58,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0
96,3,1,0,9356,1,1,0,1,0,19,0,1,1,1,0,86,4,29,1
96,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,8292,1,1,0,0,0,1,0,0,0,1,1,295,15,278,1
96,3,1,0,1046,1,1,1,0,0,2,0,1,0,1,0,39,22,36,1
96,3,1,0,1446,1,1,0,0,0,6,0,0,0,1,0,35,4,23,1
180,2,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,661,1,1,1,0,0,3,0,0,0,0,0,9,15,20,1
258,3,1,0,203,1,1,0,0,0,0,0,0,0,0,0,13,21,5,1
96,3,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,480,1,1,0,0,0,2,0,0,0,0,0,13,3,16,1
96,3,1,0,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,479,1,0,1,0,0,3,0,0,0,1,0,14,8,10,1
96,3,1,0,8148,1,1,1,0,0,3,0,0,0,0,0,38,13,28,1
290,2,1,0,117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2,1,0,423,1,0,1,0,0,0,0,0,0,0,0,10,5,7,1
258,3,1,0,522,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1
96,3,1,0,1276,1,1,0,0,0,19,0,1,1,1,0,16,2,27,1
45,3,1,0,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2,1,0,1910,1,0,0,0,0,2,0,0,0,0,0,28,2,5,1
96,3,1,0,474,1,0,0,0,0,3,0,0,0,1,0,2,9,10,1
96,3,1,0,1140,1,1,1,0,0,1,0,0,0,1,0,28,13,28,1
242,3,1,0,785,1,0,1,0,0,0,0,0,0,0,0,31,3,8,1
96,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,3,2,0,461,1,0,0,0,0,0,0,1,0,0,0,4,2,3,1
96,3,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3,1,0,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,2,1,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,477,1,1,0,0,0,1,0,1,0,0,0,5,7,10,1
258,3,1,0,1605,1,0,1,0,0,0,0,0,0,1,0,50,21,31,1
96,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,3,1,0,845,1,1,0,0,0,4,0,0,0,1,0,9,2,11,1
96,3,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
180,2,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2,1,0,3069,1,0,0,0,0,22,0,1,1,1,0,107,10,25,1
96,3,1,0,419,1,1,1,0,0,1,0,0,0,1,0,17,4,12,1
96,3,1,0,9417,1,1,0,0,0,0,0,0,0,1,0,2,12,13,1
96,3,1,0,1573,1,0,1,0,0,14,0,0,1,1,0,42,9,7,1
50,2,2,0,2073,1,1,1,0,0,20,0,1,1,1,0,506,2,17,1
96,3,1,0,2015,1,1,0,0,0,21,0,1,1,1,0,48,7,30,1
96,3,1,0,394,1,0,0,0,0,0,0,0,0,0,0,6,9,12,1
45,3,1,0,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2,1,0,198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2,3,0,409,1,1,0,0,0,1,0,0,0,0,0,6,2,10,1
93,2,2,0,3528,1,1,0,0,0,0,0,0,0,0,0,102,12,32,1
96,3,1,0,2292,1,1,0,0,0,2,0,0,0,0,0,1,5,5,1
328,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,4,0,1,971,1,0,0,0,0,0,0,1,1,1,0,3,1,11,0
113,3,1,0,66,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0
139,2,1,0,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,632,1,1,1,0,0,0,0,0,0,1,0,26,15,16,1
56,2,0,0,263,1,0,1,0,0,0,1,0,0,0,0,5,23,26,0
96,3,1,0,2980,1,1,1,0,0,0,0,0,0,1,0,44,21,54,1
258,3,1,0,962,1,1,0,0,0,0,0,1,1,1,0,39,9,16,1
96,3,1,0,649,1,1,1,0,0,0,0,0,0,1,0,6,7,12,1
340,2,1,0,1381,1,1,0,0,0,2,0,0,0,0,0,40,14,6,1
183,2,1,0,2530,1,0,1,0,0,10,0,0,0,1,0,57,13,21,1
96,3,1,0,1143,1,0,0,0,5,0,0,0,0,0,0,25,16,38,1
242,3,1,0,2656,1,0,1,0,0,0,0,0,0,1,0,30,4,4,1
232,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3,1,0,36,1,1,0,0,0,0,0,0,1,0,0,0,1,3,0
153,2,1,0,1106,1,0,1,0,0,1,0,0,0,0,0,63,18,37,1
96,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,2,1,0,651,1,0,1,0,0,0,0,0,0,0,0,16,32,22,1
96,3,1,0,938,1,0,1,0,0,0,0,0,1,1,0,13,9,13,1
242,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
270,2,1,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,1275,1,0,1,0,0,4,0,0,0,1,0,11,1,27,1
96,3,1,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,2,2,0,881,1,1,1,0,0,0,0,0,1,1,0,10,11,14,1
96,3,1,0,1756,1,1,1,0,0,18,0,0,0,0,0,68,1,6,1
96,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,2,0,0,64,1,0,0,0,0,0,0,0,0,0,0,1,1,3,0
45,3,1,0,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,2,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2,2,0,2813,1,1,1,0,0,2,0,0,0,1,0,27,24,84,1
96,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,4,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,274,1,1,0,0,0,0,0,0,1,1,0,19,3,9,0
303,2,1,0,17040,1,1,0,0,0,1,0,0,1,0,0,805,4,14,1
96,3,1,0,1259,1,1,0,1,0,0,0,0,0,1,0,40,0,2,1
96,3,0,0,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
96,3,1,0,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2,0,0,175,1,1,1,0,0,0,0,0,0,0,0,2,4,6,0
96,3,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,3,1,0,49,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
96,3,1,0,6107,1,1,0,0,0,22,0,1,1,1,0,116,13,51,1
96,3,1,0,3614,1,1,0,0,0,17,0,0,0,0,0,8,10,9,1
96,3,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,1181,1,1,0,0,0,3,0,0,0,1,0,47,6,18,1
225,2,1,0,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
96,3,2,0,416,0,0,0,0,0,0,0,1,0,1,0,2,3,1,0
96,3,1,0,307,1,1,0,0,0,2,0,1,0,0,0,3,4,6,1
290,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3,1,0,3,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0
43,2,1,0,1629,1,0,0,0,1,0,0,0,0,0,1,79,17,24,1
82,2,1,0,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
237,2,1,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,3,1,0,1444,1,0,0,0,0,0,0,0,0,0,0,28,1,21,1
345,2,2,0,481,1,1,0,0,0,0,0,0,0,1,0,13,9,11,1
96,3,3,0,212,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
181,2,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,649,1,0,1,0,0,0,0,0,0,0,0,23,104,7,1
45,3,1,0,71,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
96,3,1,0,662,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0
96,3,1,0,1248,1,1,0,0,0,2,0,0,0,0,0,46,1,13,1
96,3,1,0,1222,1,1,0,0,0,0,1,0,0,0,0,67,0,9,1
96,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,2,2,0,2432,1,0,1,0,1,0,0,0,0,1,0,64,23,31,1
96,3,1,0,1009,1,1,1,0,0,0,0,0,0,0,0,44,1,12,1
96,3,1,0,595,1,1,0,0,0,0,0,0,0,1,0,4,15,24,1
96,3,1,0,885,1,1,1,0,0,0,0,0,0,1,0,28,10,15,1
96,3,1,0,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
270,2,1,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,3,1,0,6124,1,1,0,1,0,1,0,0,0,1,0,134,2,10,1
96,3,1,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,3,1,0,962,1,1,0,0,0,1,0,0,0,0,0,32,3,7,1
96,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
345,2,2,0,1260,1,0,1,0,0,0,0,0,0,0,0,29,19,4,1
96,3,1,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,566,1,1,1,0,0,0,0,0,0,0,0,7,1,19,1
153,2,1,0,193,1,0,0,0,1,0,0,0,1,0,0,32,1,4,1
225,2,0,0,14,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0
258,3,1,0,1540,1,1,0,0,0,1,0,0,0,1,0,15,4,8,1
96,3,1,0,3857,1,0,0,0,0,11,0,0,0,0,0,51,18,13,1
96,3,1,0,3796,1,0,0,0,0,19,0,1,1,1,0,44,4,27,1
337,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,626,1,0,0,0,0,0,0,0,0,0,0,26,2,4,1
96,3,1,0,1936,1,1,1,0,0,0,1,1,0,1,0,60,17,33,1
266,2,2,0,1671,1,0,0,0,0,0,0,0,1,1,0,72,14,18,1
345,2,2,0,819,1,1,1,0,0,4,0,0,0,1,0,49,33,45,1
290,2,2,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,3,1,0,494,1,1,1,0,0,0,0,0,0,0,0,35,14,21,1
96,3,3,0,4,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
96,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,275,1,1,0,0,1,1,0,0,0,0,0,1,6,10,1
261,4,1,0,90,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0
94,2,1,0,198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,2227,1,1,0,0,0,3,1,0,0,1,0,23,2,12,1
290,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,2074,1,1,0,0,0,21,0,1,1,1,0,28,6,32,1
96,3,1,0,9300,1,1,0,0,0,22,0,1,1,1,0,208,6,37,1
221,2,1,0,163,1,1,0,0,0,0,0,0,0,0,0,14,1,2,1
362,2,1,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,2,1,0,1198,1,1,0,0,0,19,0,1,1,1,0,14,4,20,1
345,2,2,0,423,1,1,1,0,0,2,0,0,0,0,0,6,3,17,1
96,3,1,0,1504,1,0,0,1,0,0,0,0,0,0,0,16,3,8,1
345,2,2,0,1480,1,1,0,0,0,7,0,0,0,0,0,67,1,7,1
96,3,1,0,2686,1,0,0,0,0,1,0,1,0,1,0,97,35,47,1
299,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3,1,0,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,4,2,0,257,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0
96,3,1,0,222,1,0,1,0,0,0,0,0,1,1,0,7,0,1,1
96,3,1,0,422,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0
258,3,1,0,1053,1,1,0,0,0,0,0,0,0,0,0,21,29,26,1
96,3,1,0,569,1,0,1,0,0,0,0,0,0,1,0,10,20,29,1
181,2,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
302,4,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,4,1,0,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,489,1,0,0,0,0,0,0,0,0,0,0,11,2,4,1
96,3,1,0,234,1,1,0,0,0,0,0,0,0,0,0,12,3,12,1
258,3,1,0,961,1,1,1,0,0,0,0,0,1,1,1,11,36,64,1
302,4,1,0,173,1,0,0,0,0,0,0,0,1,1,0,19,3,9,0
290,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,3,1,0,11459,1,1,0,0,0,1,0,0,0,1,0,73,2,12,1
258,3,1,0,8426,1,1,0,0,0,1,0,0,1,1,0,269,1,7,1
83,3,0,0,95,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0
96,3,1,0,2408,1,0,0,0,0,19,0,1,1,1,0,93,2,16,1
94,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,4421,1,0,0,0,0,2,0,0,0,0,1,110,2,23,1
96,3,1,0,2849,1,0,1,0,0,0,0,1,0,0,0,41,24,31,1
96,3,1,0,104,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
96,3,1,0,1000,1,1,0,0,0,1,0,0,0,0,0,47,6,20,1
345,2,2,0,1569,1,0,0,0,1,0,0,0,0,0,0,47,15,13,1
96,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
96,3,1,0,742,1,0,1,0,1,2,0,0,0,0,0,37,7,19,1
96,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
96,3,1,0,363,1,0,0,0,0,2,0,0,0,1,0,16,3,3,1
96,3,0,0,66,1,1,0,0,0,0,0,0,0,1,0,1,3,6,0
96,3,1,0,585,1,0,0,0,0,4,0,0,0,0,0,5,3,7,1
96,3,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,2,1,0,3235,1,0,1,1,0,0,0,1,0,1,0,52,20,41,1
96,3,1,0,357,1,1,1,0,0,2,0,0,0,0,0,7,8,35,1
300,4,1,0,4630,1,0,1,0,0,0,1,1,0,1,0,114,4,12,1
345,2,2,0,361,1,0,0,0,0,0,0,0,0,0,0,3,1,6,1
175,2,1,0,2834,1,1,0,0,0,19,0,0,1,0,0,31,4,16,1
258,3,1,0,364,1,0,0,0,0,1,0,0,0,1,0,21,2,0,1
242,3,3,0,453,1,0,0,0,0,0,0,0,0,1,0,3,4,1,0
96,3,1,0,465,1,1,0,0,0,0,0,0,0,0,0,14,5,10,1
258,3,1,0,1624,1,1,0,0,0,2,0,0,0,0,0,9,23,32,1
345,2,2,0,2123,1,1,0,0,0,1,0,0,1,1,0,8,2,9,1
287,2,1,0,746,1,0,1,0,1,2,0,0,0,0,0,26,17,25,1
96,3,1,0,920,1,1,0,0,0,1,0,0,0,0,0,9,3,6,1
290,2,3,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,2,1,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,1,0,1099,1,1,0,0,0,4,0,0,0,0,0,12,31,13,1
96,3,1,0,1042,1,1,1,0,1,7,0,0,0,1,0,45,1,14,1
96,3,0,0,279,1,0,0,0,0,1,0,0,1,0,1,10,3,7,0
