"FILENAME","URL","URLLength","Domain","DomainLength","IsDomainIP","TLD","URLSimilarityIndex","TLDLength","NoOfSubDomain","HasObfuscation","NoOfObfuscatedChar","ObfuscationRatio","NoOfLettersInURL","LetterRatioInURL","NoOfDegitsInURL","DegitRatioInURL","NoOfEqualsInURL","NoOfQMarkInURL","NoOfAmpersandInURL","NoOfOtherSpecialCharsInURL","SpacialCharRatioInURL","IsHTTPS","LineOfCode","HasTitle","Title","DomainTitleMatchScore","HasFavicon","Robots","IsResponsive","NoOfURLRedirect","NoOfSelfRedirect","HasDescription","NoOfPopup","NoOfiFrame","HasExternalFormSubmit","HasSocialNet","HasSubmitButton","HasHiddenFields","HasPasswordField","Bank","Pay","Crypto","HasCopyrightInfo","NoOfImage","NoOfCSS","NoOfJS","NoOfSelfRef","NoOfEmptyRef","NoOfExternalRef","label"
18484,17903,19,15561,12,0,96,100,3,1,0,0,0,6,0.316,0,0,0,0,0,1,0.053,1,717,1,12296,100,1,0,1,0,0,1,0,2,0,1,1,1,0,0,0,0,1,15,1,0,3,0,15,1
5650,11898,22,7955,15,0,50,100,2,2,0,0,0,8,0.364,0,0,0,0,0,2,0.091,1,3437,1,3661,0,0,0,1,1,0,0,1,4,0,1,1,1,0,1,0,0,1,10,3,14,87,0,88,1
6619,20794,28,19230,21,0,96,100,3,1,0,0,0,15,0.536,0,0,0,0,0,1,0.036,1,9790,1,16486,100,1,0,0,0,0,0,126,20,0,1,1,0,0,0,1,0,0,51,3,8,465,0,727,1
305,20380,20,18691,13,0,96,100,3,1,0,0,0,5,0.25,2,0.1,0,0,0,1,0.05,1,1026,1,15827,100,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,44,2,11,117,9,50,1
4093,18512,23,16333,16,0,258,100,3,1,0,0,0,10,0.435,0,0,0,0,0,1,0.043,1,195,1,13148,100,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,6,7,4,1,0,18,1
16553,6007,40,1180,31,0,290,19.58896982,2,1,0,0,0,16,0.4,13,0.325,0,0,0,3,0.075,1,88,1,2806,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
19850,1309,21,5326,15,0,96,80.44077135,3,1,0,0,0,2,0.095,7,0.333,0,0,0,1,0.048,0,9,1,371,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11451,10541,26,6298,19,0,96,100,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,1220,1,1476,100,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,58,9,25,63,4,68,1
12886,6203,102,1412,60,0,96,10.69252078,3,1,0,0,0,72,0.706,15,0.147,0,0,0,7,0.069,1,662,1,3739,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,8,0
14843,6130,55,1321,46,0,96,42.86630451,3,1,0,0,0,38,0.691,4,0.073,0,0,0,5,0.091,1,108,1,3308,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
19471,4863,20,22193,13,0,96,87.40740741,3,1,0,0,0,8,0.4,0,0,0,0,0,1,0.05,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20055,1211,19,5159,12,0,93,64.93055556,2,1,0,0,0,4,0.211,3,0.158,0,0,0,1,0.053,0,2,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7484,12600,19,8832,12,0,96,100,3,1,0,0,0,6,0.316,0,0,0,0,0,1,0.053,1,986,1,17387,50,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,15,1,1,14,0,84,1
15127,80,462,143,13,1,24,1.830370894,2,2,0,0,0,291,0.63,92,0.199,10,3,0,43,0.121,1,2,1,222,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11963,10280,54,5952,37,0,335,26.14189488,3,3,0,0,0,35,0.648,0,0,0,0,0,7,0.13,1,13,1,1025,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22427,1804,17,7252,11,0,200,76.53061224,2,1,0,0,0,5,0.294,0,0,0,0,0,1,0.059,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14489,17228,20,14748,13,0,96,100,3,1,0,0,0,7,0.35,0,0,0,0,0,1,0.05,1,309,1,11369,100,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,3,2,10,21,0,5,1
17685,16365,19,13649,12,0,258,100,3,1,0,0,0,6,0.316,0,0,0,0,0,1,0.053,1,1256,1,9973,100,1,0,1,0,0,1,0,3,0,1,1,0,0,0,0,0,0,16,2,8,24,0,8,1
12760,8252,45,3398,37,0,302,47.09930414,4,1,0,0,0,20,0.444,12,0.267,0,0,0,5,0.111,1,68,1,12440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18598,15526,21,12589,14,0,96,100,3,1,0,0,0,8,0.381,0,0,0,0,0,1,0.048,1,818,1,8728,100,0,1,1,1,1,1,0,2,0,1,1,1,0,0,0,0,1,23,23,21,100,3,91,1
19571,3577,32,15744,25,0,96,65.22366522,3,1,0,0,0,20,0.625,0,0,0,0,0,1,0.031,0,16,1,12524,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14432,454,21,1852,13,0,96,83.77007608,3,0,0,0,0,12,0.571,0,0,0,0,0,2,0.095,0,15,1,5282,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5743,14303,20,11023,13,0,56,100,2,1,0,0,0,7,0.35,0,0,0,0,0,1,0.05,1,3109,1,7052,100,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,44,8,22,185,3,197,1
21489,2759,22,11660,16,0,96,83.76068376,3,1,0,0,0,10,0.455,0,0,0,0,0,1,0.045,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4950,21756,33,20395,26,0,96,100,3,1,0,0,0,20,0.606,0,0,0,0,0,1,0.03,1,2603,1,17787,100,1,0,0,0,0,0,3,24,0,0,1,0,0,1,0,0,1,24,5,10,190,0,216,1
1615,14755,33,11628,26,0,96,100,3,1,0,0,0,20,0.606,0,0,0,0,0,1,0.03,1,2986,1,7695,100,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,11,19,20,54,1,63,1
18482,21666,24,20293,17,0,96,100,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,513,1,17686,77.77777778,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,16,0,2,85,8,6,1
22675,805,49,3513,24,0,96,23.75731354,3,1,0,0,0,36,0.735,0,0,0,0,0,6,0.122,0,140,1,13060,0,1,0,1,0,0,1,0,2,0,0,1,0,0,0,0,1,0,11,2,2,1,0,15,0
12987,9726,41,5041,33,0,94,32.45827257,2,2,0,0,0,30,0.732,0,0,0,0,0,3,0.073,1,104,1,19711,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0
11956,6167,50,1368,42,0,96,42.23487845,3,1,0,0,0,30,0.6,8,0.16,0,0,0,4,0.08,1,108,1,3481,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
11770,13210,33,9581,26,0,96,100,3,1,0,0,0,20,0.606,0,0,0,0,0,1,0.03,1,1088,1,5354,100,1,1,1,0,0,0,0,2,0,0,1,1,0,0,0,0,1,22,9,22,169,0,172,1
22418,1359,16,5382,10,0,112,82.53968254,2,1,0,0,0,3,0.188,1,0.062,0,0,0,1,0.062,0,11,1,438,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2047,20711,38,19129,31,0,136,100,2,3,0,0,0,22,0.579,0,0,0,0,0,4,0.105,1,867,1,16354,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,21,12,6,44,1,48,1
9180,15287,26,12294,19,0,96,100,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,651,1,8413,100,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,168,1,3,3,0,44,1
12573,1123,21,4848,15,0,335,62.77777778,3,1,0,0,0,12,0.571,0,0,0,0,0,2,0.095,0,29,1,18838,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,1,0
3983,12774,34,9036,27,0,341,100,2,3,0,0,0,19,0.559,0,0,0,0,0,3,0.088,1,1028,1,4682,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,39,2,12,157,0,62,1
12880,6168,22,1369,14,0,93,78.0952381,2,1,0,0,0,12,0.545,0,0,0,0,0,2,0.091,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17785,10709,28,6504,21,0,345,100,2,2,0,0,0,14,0.5,0,0,0,0,0,2,0.071,1,541,1,1684,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,10,7,13,55,0,59,1
23580,8384,37,3552,17,0,71,53.1510107,2,1,0,0,0,24,0.649,0,0,0,0,0,5,0.135,1,20,1,13254,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
12611,9108,66,4381,10,0,328,15.92535118,2,0,0,0,0,30,0.455,22,0.333,0,0,0,6,0.091,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6963,12365,27,8521,20,0,96,100,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,1235,1,4258,100,1,1,1,0,0,1,0,2,0,1,0,0,0,0,0,0,1,59,4,14,53,0,65,1
22552,4018,26,17979,20,0,176,66.11111111,4,1,0,0,0,14,0.538,0,0,0,0,0,1,0.038,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5578,17431,25,14981,18,0,96,100,3,1,0,0,0,11,0.44,0,0,0,0,0,2,0.08,1,253,1,11622,100,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3,3,22,0,29,1
22641,453,18,1845,11,0,258,72.17630854,3,0,0,0,0,9,0.5,0,0,0,0,0,2,0.111,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1796,18120,24,15848,17,0,258,100,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,952,1,12633,100,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,45,19,48,109,0,146,1
20162,2828,31,12029,24,0,96,65.67717996,3,1,0,0,0,19,0.613,0,0,0,0,0,1,0.032,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12162,8701,32,3939,7,0,112,33.20615385,2,0,0,0,0,22,0.688,0,0,0,0,0,2,0.062,1,56,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0
4834,22483,20,21255,13,0,170,100,2,2,0,0,0,6,0.3,0,0,0,0,0,2,0.1,1,1501,1,18738,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,34,8,9,69,0,38,1
18178,12913,27,9215,20,0,96,100,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,771,1,4866,100,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,9,5,69,112,76,1
18406,16615,25,14004,18,0,258,100,3,1,0,0,0,11,0.44,0,0,0,0,0,2,0.08,1,231,1,10346,100,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,12,7,10,39,2,13,1
5238,21323,25,19862,18,0,96,100,3,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,359,1,17222,100,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,28,12,8,46,5,48,1
17845,13208,31,9576,24,0,84,100,2,1,0,0,0,18,0.581,0,0,0,0,0,1,0.032,1,349,1,5350,100,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,4,2,3,0,1,5,1
22824,64,18,123,11,0,96,71.90082645,3,0,0,0,0,6,0.333,4,0.222,0,0,0,1,0.056,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
12699,8402,29,3581,21,0,45,49.39187796,3,1,0,0,0,19,0.655,0,0,0,0,0,2,0.069,1,17,1,13349,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1214,13305,30,9718,23,0,96,100,3,1,0,0,0,17,0.567,0,0,0,0,0,1,0.033,1,568,1,5547,100,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,22,2,3,50,2,48,1
19062,21737,26,20370,19,0,258,100,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,1822,1,17762,100,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,16,24,103,75,3,82,1
15046,7725,38,2823,29,0,96,57.44748315,3,1,0,0,0,27,0.711,0,0,0,0,0,3,0.079,1,108,1,10085,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
7649,21552,33,20156,26,0,96,100,3,1,0,0,0,20,0.606,0,0,0,0,0,1,0.03,1,4716,1,17546,100,1,0,0,0,0,0,0,18,0,1,1,1,0,0,1,0,1,34,8,20,80,1,136,1
908,19825,20,17960,13,0,150,100,3,1,0,0,0,7,0.35,0,0,0,0,0,1,0.05,1,1596,1,15039,100,1,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,14,3,48,124,1,25,1
13026,362,28,1466,14,0,290,38.05400948,2,1,0,0,0,12,0.429,6,0.214,0,0,0,3,0.107,0,9,1,4127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7884,22006,25,20671,18,0,242,100,3,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,3326,1,18068,100,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,15,8,9,42,0,65,1
8512,13244,19,9627,12,0,258,100,3,1,0,0,0,6,0.316,0,0,0,0,0,1,0.053,1,2010,1,5400,100,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,6,2,11,105,9,27,1
13396,8981,24,4219,16,0,45,55.28492647,3,1,0,0,0,12,0.5,1,0.042,0,0,0,3,0.125,1,108,1,15982,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
9003,22176,26,20873,19,0,93,100,2,2,0,0,0,12,0.462,0,0,0,0,0,2,0.077,1,2211,1,18302,0,0,0,1,0,0,1,0,19,0,1,1,0,1,1,1,0,1,53,2,18,89,0,15,1
14669,6043,39,1229,30,0,96,59.13978495,3,1,0,0,0,28,0.718,0,0,0,0,0,3,0.077,1,16,1,3029,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
23354,3750,34,16571,26,0,96,68.66690622,3,1,0,0,0,19,0.559,0,0,0,0,0,4,0.118,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10184,18563,22,16395,15,0,242,100,3,1,0,0,0,9,0.409,0,0,0,0,0,1,0.045,1,175,1,13220,100,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,2,8,0,0,0,1
22822,6614,25,1858,16,0,48,82.95036765,4,0,0,0,0,15,0.6,0,0,0,0,0,2,0.08,1,2,1,5321,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5044,15366,25,12389,18,0,96,100,3,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,708,1,8506,100,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,19,15,12,119,0,123,1
1990,16359,23,13642,16,0,96,100,3,1,0,0,0,10,0.435,0,0,0,0,0,1,0.043,1,840,1,9965,100,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,34,4,14,70,4,56,1
10002,13344,26,9766,19,0,96,100,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,499,1,5600,100,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,13,7,12,35,1,6,1
6393,18546,28,16370,21,0,150,100,3,2,0,0,0,14,0.5,0,0,0,0,0,2,0.071,1,543,1,13190,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,22,5,11,117,3,41,1
779,10222,21,5850,14,0,296,100,2,1,0,0,0,8,0.381,0,0,0,0,0,1,0.048,1,1482,1,942,100,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,12,25,115,0,51,1
3421,23197,28,22167,21,0,96,100,3,1,0,0,0,15,0.536,0,0,0,0,0,1,0.036,1,611,1,19767,100,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,5,1,5,11,0,0,1
16806,159,38,364,25,0,290,33.44172737,2,2,0,0,0,23,0.605,3,0.079,0,0,0,5,0.132,0,120,1,755,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0
10765,1016,55,4490,26,0,287,25.38265306,2,1,0,0,0,40,0.727,0,0,0,0,0,8,0.145,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6864,19387,26,17394,19,0,96,100,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,2659,1,14367,100,1,0,1,0,0,1,5,3,0,1,1,1,1,0,1,0,1,47,6,25,220,4,42,1
5604,10804,34,6614,27,0,96,100,3,1,0,0,0,21,0.618,0,0,0,0,0,1,0.029,1,8091,1,1991,100,1,1,1,0,0,1,0,3,0,1,1,1,0,0,1,0,1,82,71,34,68,9,92,1
21922,4607,27,20996,21,0,91,47.21261053,4,2,0,0,0,14,0.519,0,0,0,0,0,2,0.074,0,8,1,18437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6250,10035,26,5613,19,0,71,100,2,2,0,0,0,12,0.462,0,0,0,0,0,2,0.077,1,3760,1,686,0,0,1,1,0,0,1,0,7,0,1,1,0,0,0,1,0,1,92,15,31,235,15,245,1
1807,17299,32,14826,25,0,96,100,3,1,0,0,0,19,0.594,0,0,0,0,0,1,0.031,1,2689,1,11459,100,0,1,1,0,0,1,0,2,0,1,1,1,0,1,1,0,1,47,7,29,179,29,25,1
5767,11831,23,7880,16,0,96,100,3,1,0,0,0,10,0.435,0,0,0,0,0,1,0.043,1,296,1,3579,100,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,26,2,6,11,0,15,1
17335,6691,181,1879,15,0,96,8.761540243,3,1,0,0,0,133,0.735,19,0.105,4,1,1,15,0.116,1,8,1,5473,0,1,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,1,1,2,2,0,2,0
2348,11352,27,7299,20,0,96,100,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,2926,1,2899,100,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,34,27,64,49,3,78,1
19653,4931,23,22345,17,0,131,83.76068376,7,1,0,0,0,11,0.478,0,0,0,0,0,1,0.043,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3102,17838,21,15489,14,0,242,100,3,1,0,0,0,8,0.381,0,0,0,0,0,1,0.048,1,7574,1,12202,100,1,0,1,0,0,1,0,3,0,1,1,1,0,1,1,1,0,75,10,24,1000,0,81,1
15260,17306,32,14834,25,0,96,100,3,2,0,0,0,18,0.562,0,0,0,0,0,2,0.062,1,588,1,11470,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,7,4,7,7,0,81,1
3374,15222,23,12214,16,0,248,100,2,1,0,0,0,10,0.435,0,0,0,0,0,1,0.043,1,372,1,8318,88.88888889,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,5,14,19,80,1,80,1
20383,2739,22,11615,16,0,96,75.32051282,3,1,0,0,0,9,0.409,1,0.045,0,0,0,1,0.045,0,9,1,7681,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20706,2319,23,9870,17,0,96,60.35502959,3,1,0,0,0,10,0.435,1,0.043,0,0,0,1,0.043,0,2,1,5729,100,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8945,14457,28,11244,21,0,258,100,3,1,0,0,0,15,0.536,0,0,0,0,0,1,0.036,1,608,1,7263,100,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,12,2,12,52,0,13,1
13031,6979,50,2220,9,0,128,21.68248193,2,0,0,0,0,35,0.7,3,0.06,0,0,0,4,0.08,1,58,1,6822,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,6,0,1,1,0
23275,244,82,937,74,0,205,11.03871439,4,2,0,0,0,58,0.707,13,0.159,0,0,0,4,0.049,0,9,1,2183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22606,3041,28,13041,22,0,96,66.34178038,3,2,0,0,0,15,0.536,0,0,0,0,0,2,0.071,0,16,1,9311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22523,2990,28,12923,22,0,96,73.48927875,3,1,0,0,0,16,0.571,0,0,0,0,0,1,0.036,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9470,12779,29,9041,22,0,345,100,2,2,0,0,0,15,0.517,0,0,0,0,0,2,0.069,1,663,1,4227,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,29,21,30,70,0,95,1
3748,13892,35,10459,28,0,258,100,3,1,0,0,0,22,0.629,0,0,0,0,0,1,0.029,1,860,1,6374,100,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,21,12,13,34,0,34,1
4072,20944,23,19415,16,0,96,100,3,1,0,0,0,10,0.435,0,0,0,0,0,1,0.043,1,268,1,16689,100,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,13,9,12,33,2,31,1
81,21606,22,20223,15,0,258,100,3,1,0,0,0,9,0.409,0,0,0,0,0,1,0.045,1,358,1,17616,100,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,9,3,7,0,0,14,1
18088,19418,23,17430,16,0,96,100,3,1,0,0,0,10,0.435,0,0,0,0,0,1,0.043,1,2067,1,14412,100,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,8,9,11,58,0,77,1
7390,21127,26,19637,19,0,96,100,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,723,1,16952,100,1,1,1,0,0,1,2,0,1,1,1,1,0,0,0,0,1,16,19,19,58,1,62,1
16928,5024,39,22631,31,0,302,41.12903226,4,1,0,0,0,15,0.385,12,0.308,0,0,0,5,0.128,0,13,1,20000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
8749,13611,27,10121,20,0,96,100,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,553,1,5983,100,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,24,4,10,0,0,42,1
6764,10302,22,5979,15,0,290,100,2,1,0,0,0,9,0.409,0,0,0,0,0,1,0.045,1,1066,1,1050,100,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,34,2,12,28,0,12,1
11282,16796,21,14218,14,0,183,100,2,1,0,0,0,8,0.381,0,0,0,0,0,1,0.048,1,708,1,10556,0,0,1,1,0,0,1,0,3,0,1,1,1,0,0,0,0,1,6,21,12,142,5,148,1
12076,9708,42,5015,34,0,96,40.61295106,3,1,0,0,0,30,0.714,0,0,0,0,0,4,0.095,1,95,1,19477,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0
14056,15845,26,13000,19,0,96,100,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,268,1,9279,100,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,9,2,9,8,0,3,1
