"DomainLength","IsDomainIP","TLD","TLDLength","NoOfSubDomain","NoOfAmpersandInURL","HasTitle","HasFavicon","Robots","NoOfURLRedirect","NoOfSelfRedirect","NoOfPopup","NoOfiFrame","HasExternalFormSubmit","HasSubmitButton","HasHiddenFields","HasPasswordField","Bank","Pay","Crypto","NoOfCSS","NoOfEmptyRef","label"
32,0,258,3,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
19,0,79,3,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,51,0,1
17,0,258,3,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,9,10,1
32,0,94,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,79,3,1,0,1,1,0,0,0,0,3,0,1,1,0,0,0,0,38,7,1
14,0,290,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,0,96,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,270,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
40,0,96,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,0,96,3,1,0,1,1,1,0,0,0,7,0,1,1,1,0,0,0,12,1,1
11,0,303,2,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,11,1,1
18,0,113,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
22,0,96,3,1,0,1,1,0,1,1,0,19,0,1,1,1,1,1,0,4,3,1
15,0,96,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,96,3,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,15,32,1
19,0,96,3,1,0,1,1,1,0,0,0,2,0,0,1,1,0,1,0,22,0,1
17,0,96,3,1,0,1,1,0,0,0,0,6,0,0,0,0,0,1,0,4,0,1
15,0,180,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,96,3,1,0,1,1,1,0,0,0,3,0,1,1,0,0,0,0,15,1,1
13,0,258,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21,1,1
24,0,96,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,364,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,96,3,1,0,1,1,0,0,0,0,2,0,1,1,0,0,0,0,3,1,1
25,0,96,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,96,3,1,0,1,0,1,0,0,0,3,0,0,0,0,0,1,0,8,5,1
21,0,96,3,1,0,1,1,1,0,0,0,3,0,1,1,0,0,0,0,13,0,1
12,0,290,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,112,2,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,5,0,1
24,0,258,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
17,0,96,3,1,0,1,1,0,0,0,0,19,0,1,0,1,1,1,0,2,3,1
14,0,45,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,130,2,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,2,12,1
16,0,96,3,1,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0,9,0,1
18,0,96,3,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,13,0,1
30,0,242,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,1
19,0,96,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,242,3,2,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,1
19,0,96,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,45,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,80,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,362,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,96,3,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,7,1,1
22,0,258,3,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,21,0,1
21,0,96,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,258,3,1,0,1,1,0,1,0,0,4,0,1,1,0,0,1,0,2,0,1
23,0,96,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,0,180,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,96,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,130,2,1,0,1,0,0,0,0,0,22,0,1,1,1,1,1,0,10,0,1
23,0,96,3,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,4,0,1
13,0,96,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,12,2,1
21,0,96,3,1,0,1,0,1,0,0,0,14,0,1,1,0,1,1,0,9,0,1
19,0,50,2,2,0,1,1,1,1,0,0,20,0,1,1,1,1,1,0,2,0,1
19,0,96,3,1,0,1,1,0,1,0,0,21,0,1,1,1,1,1,0,7,1,1
25,0,96,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1
34,0,45,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,94,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,50,2,3,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,2,0,1
16,0,93,2,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,12,5,1
21,0,96,3,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,5,6,1
15,0,328,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,176,4,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0
18,0,113,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
15,0,139,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
19,0,96,3,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,15,1,1
12,0,56,2,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,23,0,0
25,0,96,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,21,3,1
14,0,258,3,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,9,6,1
18,0,96,3,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,7,1,1
11,0,340,2,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,14,4,1
19,0,183,2,1,0,1,0,1,0,0,0,10,0,0,1,0,0,1,0,13,1,1
24,0,96,3,1,0,1,0,0,1,0,5,0,0,1,1,0,0,0,0,16,1,1
23,0,242,3,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,4,1,1
5,0,232,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,45,3,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
15,0,153,2,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,18,10,1
14,0,96,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,128,2,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,32,1,1
19,0,96,3,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,9,1,1
23,0,242,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
20,0,270,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,96,3,1,0,1,0,1,0,0,0,4,0,0,1,0,0,1,0,1,0,1
26,0,96,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,345,2,2,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,11,1,1
14,0,96,3,1,0,1,1,1,0,0,0,18,0,1,0,0,0,0,0,1,0,1
16,0,96,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,201,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,0,45,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,328,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,50,2,2,0,1,1,1,0,0,0,2,0,0,1,0,0,1,0,24,1,1
17,0,96,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,205,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,96,3,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,3,0,0
15,0,303,2,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,4,13,1
23,0,96,3,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
11,0,96,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
26,0,96,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,96,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,112,2,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,4,10,0
18,0,96,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,258,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,0,96,3,1,0,1,1,0,1,0,0,22,0,1,1,1,1,1,0,13,5,1
26,0,96,3,1,0,1,1,0,0,0,0,17,0,1,1,0,0,0,0,10,1,1
19,0,96,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,96,3,1,0,1,1,0,0,0,0,3,0,1,1,0,0,1,0,6,0,1
14,0,225,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
40,0,96,3,2,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,3,5,0
15,0,96,3,1,0,1,1,0,0,0,0,2,0,0,1,1,0,0,0,4,0,1
13,0,290,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,45,3,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0
13,0,43,2,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,17,0,1
16,0,82,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
19,0,237,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,258,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
16,0,345,2,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,9,5,1
49,0,96,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,181,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,96,3,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,104,0,1
18,0,45,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33,0,96,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,0,96,3,1,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1
19,0,96,3,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
15,0,96,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,345,2,2,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,23,0,1
22,0,96,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1
16,0,96,3,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,15,0,1
18,0,96,3,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,10,0,1
22,0,96,3,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
39,0,270,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,258,3,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,2,0,1
26,0,96,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,258,3,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,3,4,1
26,0,96,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
18,0,345,2,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,19,3,1
19,0,96,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,96,3,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,3,1
11,0,153,2,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
18,0,225,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
15,0,258,3,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,4,0,1
19,0,96,3,1,0,1,0,0,1,0,0,11,0,1,1,0,0,0,0,18,0,1
23,0,96,3,1,0,1,0,0,0,0,0,19,0,1,1,1,1,1,0,4,8,1
14,0,337,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,96,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
25,0,96,3,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,17,13,1
17,0,266,2,2,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,14,9,1
18,0,345,2,2,0,1,1,1,0,0,0,4,0,1,0,0,0,1,0,33,0,1
20,0,290,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,258,3,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,14,1,1
58,0,96,3,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
16,0,96,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,96,3,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,6,0,1
38,0,261,4,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0
39,0,94,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,96,3,1,0,1,1,0,0,0,0,3,1,1,1,0,0,1,0,2,0,1
12,0,290,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,96,3,1,0,1,1,0,0,0,0,21,0,1,1,1,1,1,0,6,1,1
14,0,96,3,1,0,1,1,0,1,0,0,22,0,1,1,1,1,1,0,6,4,1
14,0,221,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
41,0,362,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,362,2,1,0,1,1,0,0,0,0,19,0,1,0,1,1,1,0,4,0,1
21,0,345,2,2,0,1,1,1,0,0,0,2,0,1,1,0,0,0,0,3,0,1
23,0,96,3,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,3,3,1
13,0,345,2,2,0,1,1,0,0,0,0,7,0,1,1,0,0,0,0,1,0,1
17,0,96,3,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,35,1,1
12,0,299,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,45,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,205,4,2,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
17,0,96,3,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1
30,0,96,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
12,0,258,3,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,29,0,1
