"HasSubmitButton","HasHiddenFields","HasPasswordField","Bank","Pay","Crypto","NoOfCSS","NoOfEmptyRef","label"
1,0,0,0,0,0,8,23,1
1,0,0,0,1,0,3,0,1
0,0,0,0,1,0,2,41,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,2,2,1
1,1,1,1,1,0,14,11,1
0,1,0,0,1,0,3,6,1
1,0,0,0,1,0,3,0,1
0,1,0,1,1,1,7,20,1
1,0,0,0,0,0,6,2,1
1,1,1,1,1,0,2,8,1
0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,42,7,1
0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,8,1,1
1,1,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6,0,1
0,1,0,0,0,0,27,0,1
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,4,1,1
0,1,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,2,1
0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,47,0,1
0,1,0,0,1,0,19,4,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,28,0,1
1,1,0,0,0,0,13,2,1
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,4,0,0
0,1,0,0,1,0,15,1,1
0,1,1,0,0,1,2,0,0
0,1,0,0,0,0,1,0,0
0,1,0,0,0,0,2,8,1
1,0,1,1,1,0,2,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,2,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,2,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,3,7,1
0,0,0,0,0,0,6,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,1,1,1,0,0,13,8,1
0,0,0,0,1,0,8,10,1
0,0,0,0,0,1,3,0,1
0,1,0,0,1,0,4,3,1
1,0,0,0,1,0,19,9,1
0,0,0,0,0,0,13,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,6,0,1
1,0,0,0,0,0,7,0,1
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,6,10,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,12,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,2,0,0
1,0,1,0,1,0,4,0,0
1,0,0,0,0,0,12,0,0
0,0,0,0,1,0,21,3,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,1,1,0,1,0,1
1,1,0,0,0,0,12,1,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,22,2,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,1
1,1,0,0,0,0,18,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,22,26,1
1,1,0,0,1,0,14,0,1
0,1,0,0,1,0,30,0,1
0,0,0,0,0,0,9,0,1
1,1,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,24,6,1
1,0,0,1,0,0,7,1,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,32,8,1
1,0,0,0,0,0,4,1,1
0,0,0,0,0,0,3,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,4,1,1
0,0,0,0,0,0,12,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,24,0,1
0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,12,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,41,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,25,0,1
0,0,0,0,1,0,4,7,1
1,1,0,0,0,0,9,2,1
0,0,0,0,0,0,0,0,0
0,1,0,1,1,0,3,0,0
0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,10,1,1
1,1,0,1,1,0,4,0,1
0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,41,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,1,1,1,6,0,1
0,1,0,1,1,0,1,0,0
1,0,1,1,1,0,3,0,0
0,1,0,1,0,0,1,0,1
0,0,0,1,0,1,3,1,0
0,0,0,0,0,0,0,0,0
1,0,0,1,1,0,27,4,1
0,0,0,0,1,0,7,4,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,0,1
0,0,0,0,1,0,7,1,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,5,1,1
0,1,0,0,0,0,2,1,1
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,2,2,0
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0
1,1,1,0,1,1,12,1,1
1,1,0,0,0,0,2,51,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,5,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,4,6,1
0,0,0,0,1,0,6,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,6,0,1
1,1,1,0,0,0,49,0,1
1,1,0,0,0,0,1,3,1
1,1,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,1,1
0,1,0,1,1,0,13,20,1
0,1,0,0,1,0,7,3,1
0,0,0,0,1,0,4,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,10,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,4,0,1
0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,3,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,3,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,13,0,1
1,1,0,0,0,0,6,6,1
1,1,0,0,1,0,7,2,1
1,0,0,1,0,0,3,0,1
0,0,0,0,1,0,18,1,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,4,8,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,7,0,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,14,12,1
0,1,0,1,0,0,7,0,1
0,0,0,0,0,0,24,0,1
1,1,0,0,1,0,1,7,1
1,1,0,0,0,0,23,2,1
1,1,0,0,0,0,15,0,1
0,0,0,0,0,0,9,10,1
0,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,2,0,1
0,0,0,0,1,0,2,14,1
1,1,0,0,0,0,20,3,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,17,0,1
0,0,0,0,1,0,3,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,5,52,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,2,6,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,9,0,1
0,0,0,0,0,0,15,0,1
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,2,0,1
1,1,0,0,1,0,10,4,1
0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,24,0,1
1,0,0,0,0,0,4,0,1
1,0,0,0,1,0,14,1,1
1,1,0,0,1,0,8,0,1
1,1,0,0,0,0,46,0,1
1,0,0,0,1,0,7,1,1
0,1,1,1,1,0,1,0,1
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,8,7,1
1,1,1,1,1,0,3,1,1
1,1,0,0,0,0,13,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,0,1
1,1,0,0,1,0,2,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,1,5,1,1
1,1,0,0,0,1,16,1,1
0,1,0,0,0,0,1,0,1
1,1,0,0,0,0,9,0,1
1,1,0,0,1,1,3,0,1
1,0,1,0,0,0,21,14,1
1,1,0,0,1,0,7,1,1
1,1,0,0,0,0,53,0,1
0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,4,5,1
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,7,0,1
0,0,0,0,0,0,4,0,1
1,1,0,0,0,0,10,0,1
1,1,0,0,1,0,19,0,1
0,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,40,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0
1,0,0,1,0,0,4,5,1
1,0,0,0,1,0,3,3,1
0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,8,3,1
0,0,0,0,0,0,2,0,1
1,1,0,0,0,0,3,1,1
1,1,0,0,1,0,15,9,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,8,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,15,5,1
1,1,0,0,1,0,2,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,5,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,14,3,1
1,0,0,0,0,0,20,2,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,3,12,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,23,29,1
1,1,0,0,0,0,20,4,1
0,0,1,0,0,0,10,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,41,0,1
1,1,0,0,0,1,24,16,1
1,1,0,1,1,0,36,1,1
0,1,0,1,0,0,190,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,64,22,1
1,1,1,1,1,0,5,28,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,5,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,1,3,1
1,1,0,1,0,0,1,0,1
1,1,0,0,0,0,7,7,1
0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,22,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,9,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1
0,0,0,0,1,0,3,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,7,2,1
0,0,0,0,0,0,1,0,1
0,1,0,0,0,0,3,4,1
1,1,0,0,0,0,14,6,1
0,0,0,0,0,0,2,0,0
1,0,0,0,0,0,30,1,1
0,1,0,0,0,0,12,4,1
0,0,0,0,0,0,0,0,0
0,1,0,1,1,0,1,0,0
0,1,0,1,1,0,13,7,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,4,18,1
1,1,0,0,0,0,0,0,1
1,0,0,0,0,0,5,0,1
1,0,0,0,0,0,4,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,5,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,7,0,1
1,1,0,0,0,0,3,0,1
0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,11,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,2,1,1
1,0,0,0,0,0,3,0,1
1,1,0,0,0,0,4,0,1
1,1,0,1,0,0,9,1,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,13,3,1
0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,2,16,1
0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,2,0,1
0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,3,0,1
0,1,0,0,1,0,37,1,1
0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5,0,1
1,1,0,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,5,7,1
1,1,0,0,0,0,8,13,1
0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,3,5,1
1,1,0,1,0,0,1,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,22,1,1
0,0,0,0,1,0,2,0,1
1,0,0,0,1,0,2,0,1
1,1,1,0,1,0,1,0,0
1,0,1,1,1,0,3,0,1
0,0,0,0,0,0,1,3,1
0,0,0,0,0,0,2,5,1
0,1,0,0,1,1,28,2,1
1,1,0,0,1,1,14,0,1
1,1,0,0,0,0,25,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,1,1
1,1,1,0,0,0,12,1,1
0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,32,6,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,9,1,1
1,0,1,0,0,0,35,2,1
1,1,1,0,1,0,24,0,1
1,1,0,0,0,0,7,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,1,1,0,21,1,1
1,0,0,0,0,0,4,15,1
0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,6,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,12,2,1
1,1,1,1,1,0,10,16,1
1,1,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,11,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1
1,1,1,0,1,1,16,33,1
0,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,3,2,1
1,1,1,0,0,0,16,3,1
1,1,0,0,0,0,12,1,1
0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,2,0,0
0,1,0,1,1,1,4,539,1
0,0,0,0,0,0,7,1,1
1,1,1,0,0,0,5,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,0,1
1,1,0,0,1,0,22,4,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,14,2,1
0,0,0,1,0,0,4,0,0
1,1,0,0,0,0,34,10,1
1,1,0,0,0,0,3,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,3,3,1
1,0,0,0,0,0,8,0,1
1,0,0,0,0,0,36,10,1
1,0,0,1,0,0,1,1,1
1,1,0,0,0,0,4,0,1
0,1,0,0,1,0,16,0,1
1,1,0,0,1,0,6,3,1
1,1,0,0,0,0,4,2,1
0,0,0,0,0,0,4,0,1
1,0,0,0,1,0,9,1,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,17,0,1
1,1,0,0,1,0,2,0,1
0,1,0,0,0,0,1,0,1
0,0,0,0,0,0,1,0,0
1,1,1,0,0,0,36,0,1
1,1,0,1,0,0,9,0,1
0,0,0,0,0,0,2,0,1
0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,2,0,1
1,1,0,0,0,0,3,0,1
0,0,0,0,0,0,2,0,1
0,0,0,0,0,0,4,1,1
1,0,0,1,0,0,10,2,1
1,0,1,0,0,0,40,3,1
0,1,0,0,0,0,21,1,1
1,1,0,0,0,0,0,0,0
1,1,0,0,0,0,14,0,1
1,1,0,0,1,0,1,0,1
1,1,0,1,1,0,87,4,1
0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,38,16,1
1,1,0,0,0,0,20,0,1
1,0,0,0,0,0,2,0,1
1,1,0,0,0,0,26,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,9,0,1
1,1,0,1,0,0,26,2,1
0,1,0,0,0,0,13,0,1
0,0,0,0,0,0,3,0,1
0,0,0,0,0,0,0,0,0
1,1,0,1,1,1,5,5,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,12,0,1
1,0,0,0,0,0,11,0,1
0,1,0,0,0,0,16,11,1
0,0,0,1,1,0,10,15,1
0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,2,1,1
0,1,0,1,1,0,3,0,0
1,1,0,0,0,0,2,0,1
1,1,1,1,1,0,5,0,1
1,1,0,0,1,0,6,6,1
0,1,0,1,1,0,3,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,13,0,1
0,0,0,0,0,0,1,0,1
1,1,0,0,1,0,35,15,1
1,1,0,0,1,0,29,0,1
0,1,0,0,0,0,5,6,1
0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,19,3,1
1,0,0,0,0,0,17,13,1
1,1,0,0,0,0,14,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,14,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,1,1,4,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,5,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,14,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,17,4,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,16,0,1
1,0,0,0,0,0,1,9,1
1,1,0,0,1,0,12,1,1
1,1,0,0,0,0,1,1,1
1,1,0,0,0,0,28,9,1
1,1,1,0,0,0,3,1,1
0,0,0,0,0,0,8,0,1
1,1,0,0,1,0,8,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,3,6,1
1,0,0,0,0,0,4,0,1
1,1,1,0,0,0,2,0,0
1,0,0,0,1,0,22,1,1
1,1,0,0,0,0,1,24,1
0,0,0,0,0,0,7,1,1
1,1,1,0,0,0,13,3,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0
1,1,1,0,0,0,2,0,1
1,1,0,1,1,0,7,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,45,0,1
1,0,0,0,0,0,3,1,1
1,0,0,1,0,0,1,0,0
1,1,0,0,0,0,5,11,1
0,1,0,0,1,0,16,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3,0,1
0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,1
1,0,1,1,1,0,4,17,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,18,3,1
0,0,0,1,0,0,3,0,1
1,1,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,10,1,1
0,0,0,0,0,0,2,0,1
0,0,0,0,0,0,7,3,1
0,1,0,0,0,0,6,0,1
0,0,0,0,0,0,1,0,0
0,1,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,4,11,1
1,0,1,0,0,0,14,3,1
0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,10,3,1
1,1,0,0,1,0,3,0,1
0,0,0,1,0,0,9,0,0
0,0,0,0,1,0,9,3,1
1,1,1,0,0,0,21,7,1
0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,7,0,1
0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,21,15,1
1,1,1,0,0,0,12,0,1
0,1,0,0,1,0,4,0,1
1,1,1,1,1,0,3,1,1
0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,33,0,1
1,1,0,0,1,0,34,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,8,0,1
1,0,0,0,1,0,6,0,1
1,1,0,0,0,0,2,0,0
1,1,1,1,1,0,7,15,1
0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,4,0,1
1,1,0,0,1,0,9,1,1
0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,7,0,1
0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,4,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,20,0,1
1,1,0,1,1,1,8,3,1
1,1,0,0,1,0,5,3,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,14,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,11,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,10,23,1
1,1,0,1,0,0,9,0,0
1,1,0,1,0,0,2,0,0
1,1,0,0,1,0,72,1,1
0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,2,0,0
1,0,0,0,0,0,0,0,0
1,0,1,1,1,0,26,4,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,4,1,1
0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,10,2,1
1,1,1,1,1,0,3,0,1
1,1,1,1,1,0,4,0,1
1,1,0,0,0,0,24,0,1
0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,13,1,1
1,1,1,1,0,0,1,16,1
0,1,0,0,0,0,22,19,1
1,1,1,0,1,0,55,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,1
0,0,0,0,1,0,6,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,4,1,1
1,0,0,1,0,0,3,0,1
1,1,1,0,1,0,29,7,1
0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,5,34,1
1,1,0,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,2,0,1
1,1,0,0,0,0,25,9,1
1,1,0,0,0,0,7,4,1
0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,12,3,1
1,0,0,0,0,0,11,3,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,1,0,1
0,0,0,1,1,0,16,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,17,2,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,1
1,1,0,0,0,1,16,2,1
0,1,0,0,0,0,15,16,1
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,48,13,1
1,1,1,0,0,0,4,3,1
0,0,0,0,0,0,5,1,1
0,0,0,0,0,0,4,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,22,3,1
1,0,0,0,1,0,2,1,1
1,0,0,0,0,0,4,1,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,15,4,1
1,0,0,0,0,0,1,2,1
0,0,0,0,0,0,2,0,1
0,1,0,0,1,0,5,4,1
1,1,0,0,0,0,4,10,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,11,0,1
1,0,0,1,0,1,4,0,1
0,0,0,0,0,0,5,3,1
1,1,1,0,0,0,3,11,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,4,6,1
1,0,1,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,80,0,1
0,0,0,0,0,0,5,0,1
1,1,0,0,0,0,6,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,0,1
1,0,0,0,0,0,9,0,1
0,0,0,0,1,0,4,0,1
1,1,1,0,0,0,10,1,1
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,6,0,1
