DomainLength,IsDomainIP,TLD,TLDLength,NoOfSubDomain,NoOfAmpersandInURL,HasTitle,HasFavicon,Robots,NoOfURLRedirect,NoOfSelfRedirect,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,NoOfCSS,NoOfEmptyRef,label
23,0,345,2,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,8,3,1
18,0,345,2,2,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0,13,1,1
26,0,101,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
22,0,153,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
22,0,79,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,1
18,0,97,3,1,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,5,0,1
45,0,93,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,98,3,1,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,1,1,1
27,0,87,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
9,0,179,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,0,100,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
23,0,48,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
15,0,149,3,2,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,35,0,1
25,0,98,3,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,4,1
16,0,354,4,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
14,0,100,3,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,7,6,1
36,0,88,3,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,34,0,1
13,0,178,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1
32,0,49,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,1,1
19,0,93,3,1,0,1,0,1,0,0,1,2,0,1,1,0,0,0,0,22,1,1
17,0,280,2,2,0,1,1,0,0,0,0,3,1,0,1,0,0,0,0,13,2,1
5,0,231,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,1,11,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
21,0,96,3,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
21,0,98,3,1,0,1,0,1,0,0,0,14,0,1,1,0,1,1,0,9,0,1
14,0,115,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,-2,0
20,0,246,2,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,3,-1,1
27,0,119,3,2,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,2,1
32,0,355,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
29,0,93,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,1
21,0,254,3,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1
20,0,95,3,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,18,0,1
21,0,94,3,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,66,2,1
22,0,98,3,0,2,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0
27,0,100,3,1,0,1,1,0,0,0,0,2,0,1,1,0,1,0,0,3,5,1
21,0,96,3,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,49,0,1
12,0,100,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
20,0,102,3,1,0,1,1,1,0,0,1,5,0,0,1,0,0,0,0,16,1,1
16,0,123,3,2,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1
13,0,96,3,1,0,1,1,0,1,1,0,8,0,1,1,0,0,1,0,8,5,1
15,0,97,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,1
14,0,334,2,1,0,1,0,1,0,0,0,7,0,1,1,0,0,0,0,18,3,1
15,0,96,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
24,0,92,3,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,24,-1,1
24,0,149,3,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,10,0,1
13,0,89,3,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,2,1,1
27,0,97,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
30,0,92,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,339,2,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,14,-1,1
20,0,96,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
14,0,263,3,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,6,0,1
14,0,93,3,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,21,0,1
22,0,87,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
15,0,236,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
20,0,290,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
47,0,97,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
18,0,84,2,1,0,1,1,0,0,0,0,19,0,1,1,1,1,1,0,16,0,1
23,0,92,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
44,0,101,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
24,0,58,3,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
16,0,257,2,2,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,32,0,1
18,0,99,3,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,4,11,1
15,0,275,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
16,0,102,3,1,0,1,1,0,0,0,0,3,0,1,0,0,0,0,0,16,1,1
12,0,189,2,1,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1
14,0,345,2,2,0,1,0,1,0,0,0,2,0,1,0,0,0,1,0,16,2,1
22,0,261,3,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,3,1,1
21,0,99,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,100,3,1,0,1,0,0,0,0,0,19,0,1,1,1,1,1,0,2,-1,1
36,0,84,5,1,0,1,1,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0
14,0,255,3,1,0,1,1,1,0,0,0,2,0,1,1,0,1,1,0,4,13,1
19,0,86,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,0,50,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0
23,0,90,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
12,0,93,3,1,0,1,0,0,0,0,0,2,0,1,1,0,0,1,0,14,0,1
20,0,240,3,1,0,1,1,0,0,0,4,3,0,1,0,0,0,0,0,5,0,1
10,0,295,2,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,5,4,1
14,0,341,2,2,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,8,0,1
22,0,263,3,1,0,1,1,0,1,0,0,4,0,0,0,0,0,1,0,23,0,1
28,0,299,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,346,2,2,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1
18,0,291,2,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,-1,1
19,0,97,3,1,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,26,1,1
14,0,288,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,0,97,3,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,12,5,1
20,0,92,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2,0
15,0,94,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
22,0,45,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
24,0,179,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
18,0,290,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
20,0,97,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
19,0,94,3,1,0,1,1,0,0,0,5,23,0,1,1,0,0,0,0,4,0,1
25,0,252,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,100,3,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,20,3,1
76,0,89,3,2,0,1,0,0,1,0,0,2,0,1,0,1,0,1,0,2,-1,0
19,0,241,2,1,0,1,1,1,0,0,2,15,0,1,0,0,1,0,0,16,37,1
16,0,97,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,0,242,3,1,0,1,1,1,1,1,0,3,1,1,1,0,0,0,0,55,7,1
36,0,338,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,0
26,0,45,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
17,0,85,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
12,0,195,2,1,0,1,1,0,0,0,0,5,0,1,1,1,0,0,0,21,2,1
15,0,247,2,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,13,0,1
24,0,92,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1
34,0,103,3,1,0,1,1,0,0,0,2,17,0,1,1,0,0,1,0,10,1,1
16,0,94,3,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,4,4,1
28,0,100,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
17,0,93,3,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,3,1
16,0,56,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
19,0,122,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,93,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,120,2,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,48,0,1
13,0,243,3,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,3,2,1
19,0,97,3,1,0,1,1,0,1,0,0,21,0,1,1,1,1,1,0,7,1,1
17,0,95,3,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,2,1,1
22,0,262,3,1,0,1,1,0,0,0,0,3,0,1,1,1,0,0,0,8,3,1
15,0,53,2,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,7,6,1
34,0,266,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,0,243,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,97,3,1,0,1,1,0,0,0,126,20,0,1,0,0,0,1,0,4,2,1
21,0,106,3,1,0,1,0,0,0,0,0,19,0,1,1,1,1,1,0,65,0,1
19,0,291,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,102,3,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,7,3,1
34,0,88,3,3,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0
26,0,262,3,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,25,41,1
18,0,76,2,1,0,1,0,0,0,0,0,19,0,1,1,1,1,1,0,4,1,1
22,0,97,3,1,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0,13,1,1
31,0,101,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0
25,0,97,3,1,0,1,1,1,0,0,0,3,0,1,1,0,0,0,0,15,1,1
25,0,97,3,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,23,4,1
27,0,96,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,0,250,3,1,0,1,1,0,0,0,0,4,0,0,1,0,0,1,0,33,0,1
28,0,346,2,2,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,4,3,1
23,0,100,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,1
14,0,112,2,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,2,1
15,0,183,2,2,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,13,-1,1
20,0,99,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2,0
22,0,295,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,244,3,1,0,1,1,0,0,0,1,3,0,1,1,0,0,1,0,4,0,1
16,0,97,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,20,4,1
18,0,257,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1
21,0,173,2,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,8,-1,1
19,0,86,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,0,52,2,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
21,0,263,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,3,1,1
11,0,339,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,98,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1
17,0,91,3,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,19,0,1
17,0,291,2,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,-2,0
28,0,100,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,32,1
13,0,336,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,93,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
15,0,109,2,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,16,1
29,0,295,2,2,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,5,0,0
16,0,103,3,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,8,11,1
31,0,88,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,95,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
18,0,225,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,-1,0
14,0,133,2,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,2,13,1
49,0,50,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0
12,0,80,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
19,0,96,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0
16,0,241,2,2,0,1,1,1,0,0,0,2,1,1,0,0,0,0,0,34,7,1
18,0,96,3,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,4,11,1
19,0,250,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1
20,0,75,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,0,258,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
27,0,102,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
35,0,89,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0
28,0,97,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,145,3,2,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,6,2,1
18,0,97,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
21,0,240,2,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,18,1,1
48,0,93,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
37,0,93,3,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,4,0,0
20,0,100,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,0,51,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
36,0,93,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
18,0,99,3,1,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,1,-1,1
28,0,95,3,1,0,1,1,1,0,0,0,3,0,1,1,0,1,0,0,18,5,1
18,0,115,2,1,0,1,1,0,0,0,0,2,0,1,0,0,1,0,0,1,1,1
72,0,205,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2,0
24,0,105,3,1,0,1,0,0,0,0,0,3,1,1,0,0,0,1,0,9,74,1
18,0,98,3,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,6,4,1
17,0,259,3,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,6,1,1
24,0,98,3,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,3,0,0
19,0,116,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
16,0,50,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
10,0,60,2,1,0,1,1,0,0,0,0,3,0,0,0,0,1,0,0,5,0,1
15,0,185,2,1,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,2,-1,1
27,0,91,3,1,0,1,0,0,0,0,0,19,0,1,1,1,1,1,0,36,0,1
17,0,114,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,0
20,0,295,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0
22,0,260,3,1,0,1,0,0,0,0,0,-1,0,0,0,0,0,1,0,1,-1,1
22,0,99,3,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,21,2,1
17,0,95,3,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,25,1,1
29,0,45,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
31,0,101,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
21,0,97,3,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,32,1
14,0,93,3,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,18,0,1
17,0,91,3,1,0,1,1,1,0,0,0,8,0,1,1,1,0,0,0,13,2,1
21,0,88,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
24,0,296,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3,6,1
26,0,97,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
23,0,106,3,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,3,3,1
22,0,189,2,2,0,1,1,1,0,0,0,2,0,1,0,0,0,0,0,3,1,1
25,0,100,3,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,1
17,0,216,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
26,0,90,3,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,28,1,1
14,0,89,3,1,0,1,0,1,1,1,0,2,0,1,1,0,0,0,0,23,3,1
20,0,220,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
24,0,102,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1
19,0,349,2,3,0,1,1,0,1,0,0,2,0,0,1,0,0,1,0,9,0,1
23,0,262,3,1,0,1,1,0,0,0,0,3,0,0,1,0,0,1,0,21,0,1
18,0,97,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
18,0,106,3,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,1
17,0,88,3,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,5,6,1
38,0,99,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,243,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
17,0,100,3,1,0,1,1,0,0,0,1,3,0,1,1,0,0,1,0,0,0,1
21,0,357,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
20,0,291,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
44,0,114,3,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2,1,0
31,0,301,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
15,0,97,3,1,0,1,1,1,1,0,2,0,1,1,1,1,0,1,0,18,4,1
39,0,188,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
41,0,90,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
15,0,340,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0
18,0,90,3,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,10,-1,1
26,0,99,3,1,0,1,1,1,0,0,0,6,0,1,1,0,0,1,0,13,2,1
18,0,92,3,1,0,1,0,0,0,0,0,20,0,1,1,1,1,1,0,71,237,1
12,0,252,3,1,0,1,1,0,1,0,0,4,0,0,1,0,0,1,0,10,-1,1
24,0,87,3,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
24,0,87,2,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,3,2,1
16,0,348,2,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,9,6,1
11,0,264,3,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,14,1,1
40,0,181,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,0,348,2,2,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,4,-1,1
18,0,99,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
28,0,55,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,240,3,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,7,1,1
25,0,176,2,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15,0,178,2,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,4,2,1
13,0,287,2,2,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,4,0,1
16,0,262,3,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,9,0,1
18,0,171,2,1,0,1,0,1,0,0,0,2,0,0,1,0,1,0,0,32,1,1
17,0,95,2,1,0,1,0,1,0,0,0,4,0,1,1,0,0,0,0,20,1,1
21,0,99,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0
19,0,295,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
17,0,92,3,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,8,2,1
22,0,93,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
