DomainLength,IsDomainIP,TLD,TLDLength,NoOfSubDomain,NoOfAmpersandInURL,LineOfCode,HasTitle,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,NoOfImage,NoOfCSS,NoOfJS,NoOfEmptyRef,label
23,0,112,2,1,0,3555,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,4,22,0,0
42,0,39,3,2,0,1137,0,1,1,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,23,1
12,0,173,3,1,0,372,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,54,0,23,9,1
15,0,151,2,0,0,1347,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,1
17,0,2,3,1,0,3819,1,1,1,0,0,0,2,5,0,1,0,0,0,0,0,211,0,19,0,0
14,0,60,2,1,1,533,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,8,12,0,1
22,0,349,4,1,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,31,21,2,14,1
11,0,316,3,2,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,39,25,28,19,1
19,0,213,3,1,0,599,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0
10,0,125,3,2,0,1786,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,13,23,15,0
21,0,184,3,0,0,2754,1,1,0,1,0,0,1,7,0,1,0,0,0,0,0,0,0,21,0,1
13,0,170,3,2,0,626,1,0,1,1,0,0,0,5,0,0,0,0,1,0,0,5,0,0,0,0
30,0,60,2,2,0,2207,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,32,4,1
27,0,118,3,0,0,473,1,0,0,1,0,0,1,4,0,1,0,0,0,0,0,0,11,33,0,0
21,0,168,2,0,0,2026,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
32,0,266,2,2,0,1733,1,0,1,1,0,0,3,9,0,1,0,0,0,1,0,0,31,7,0,0
26,0,148,3,1,0,4470,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0
25,0,51,3,2,0,1173,1,0,0,0,0,0,2,4,0,0,0,0,1,1,0,60,0,19,0,0
37,0,97,3,2,0,474,1,0,1,1,1,0,1,2,0,1,1,0,1,0,0,65,1,0,0,1
27,0,306,3,1,0,687,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,36,0,0,0,1
16,0,32,4,2,1,2,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,39,7,35,18,0
15,0,9,3,1,0,5486,1,1,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,28,0
37,0,367,2,0,0,866,0,0,1,0,0,0,5,3,0,0,0,0,0,0,0,85,0,0,0,1
10,0,88,3,1,0,4095,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,115,16,17,27,0
22,0,170,2,2,0,4894,1,0,1,0,0,0,1,8,0,1,0,0,1,1,0,107,4,0,0,1
34,0,60,2,0,1,1431,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,29,1
21,0,241,3,2,0,4688,1,0,0,1,0,0,3,0,0,1,0,0,0,0,0,75,3,29,0,0
29,0,186,3,1,0,3608,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,48,2,0,0,0
12,0,23,3,1,0,313,1,0,0,1,0,0,1,8,0,1,0,0,0,0,0,206,3,38,20,1
4,0,106,3,1,0,2,0,1,0,1,1,0,0,5,0,0,1,0,1,0,0,58,11,0,5,0
38,0,153,4,0,0,3353,1,0,0,1,0,0,7,7,0,1,0,0,0,1,0,71,0,16,23,1
13,0,120,2,1,0,2093,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,27,1,0,0,0
4,0,193,4,1,0,2,1,0,0,0,0,0,0,6,0,0,1,0,1,0,0,27,21,51,18,0
29,0,2,4,1,0,2,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,22,0,1
21,0,61,3,0,1,1966,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,169,34,18,22,0
48,0,178,3,1,1,1932,1,0,0,1,0,0,0,6,0,1,1,0,0,0,0,0,6,0,0,0
27,0,2,3,1,0,2899,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,39,0,0,16,1
22,0,118,2,1,0,911,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,7,19,23,1,1
29,0,123,3,0,0,3461,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,23,9,31,0,0
31,0,2,3,2,0,4779,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,6,0,0,0,1
33,0,221,2,1,0,2,1,0,0,1,0,0,2,10,0,1,0,0,0,0,0,67,0,12,19,0
25,0,151,2,0,0,3134,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,40,20,35,0,1
23,0,167,2,1,0,2867,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,13,0,5,10,0
12,0,172,4,1,0,2,1,0,1,0,0,0,1,2,0,0,1,0,1,0,0,34,15,16,0,1
19,0,27,3,1,1,2,1,0,0,1,0,0,0,4,0,0,0,0,1,1,0,0,17,7,0,1
28,0,48,3,1,0,2617,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,8,0,0
14,0,224,4,2,1,273,1,1,0,0,0,0,3,0,0,1,1,0,0,0,0,54,4,13,22,1
12,0,114,2,1,0,2,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,9,11,3,0,0
24,0,72,3,1,0,4202,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9,1
29,0,265,2,2,0,2489,1,0,0,0,0,0,3,7,0,0,0,0,0,0,0,108,12,6,0,1
18,0,110,2,1,0,2092,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,29,35,0,8,1
10,0,145,2,0,0,987,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
18,0,97,3,1,0,763,1,0,0,1,0,0,0,5,0,1,0,0,0,1,0,14,0,6,0,1
29,0,165,2,1,0,759,1,1,0,1,0,0,0,4,0,0,1,0,0,1,0,23,0,37,0,0
20,0,146,3,1,1,1001,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,106,17,5,0,0
21,0,210,3,1,0,329,1,1,0,1,0,0,2,5,0,1,0,0,1,0,0,39,6,31,0,0
24,0,122,4,3,0,4162,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,5,0,0
11,0,93,3,0,1,2,1,0,0,1,0,0,3,7,0,1,1,0,1,0,0,60,13,37,15,0
14,0,252,3,1,0,2,0,1,0,1,0,0,3,0,0,1,0,0,0,0,0,51,4,1,20,1
32,0,53,2,1,1,2228,1,0,0,1,0,0,2,4,0,0,1,0,0,0,0,0,7,3,0,1
7,0,228,3,2,1,443,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,12,0,10,1
35,0,58,2,2,0,1544,1,0,0,1,0,0,3,0,1,0,0,1,1,1,0,43,9,10,16,1
22,0,233,2,2,0,4791,1,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,18,0,1
35,0,140,2,1,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,117,17,0,0,1
19,0,178,2,2,0,1779,1,0,0,0,0,0,5,2,0,0,1,0,0,0,0,0,0,9,14,0
28,0,219,2,1,0,1250,1,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,14,0
20,0,190,2,0,0,2,1,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,22,0,7,0
30,0,36,3,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,1
16,0,314,3,2,0,428,1,0,1,1,0,0,2,0,0,1,0,0,0,0,0,55,12,0,5,1
22,0,116,2,2,0,4764,1,0,1,0,0,0,0,4,0,1,0,0,0,1,0,0,19,0,0,1
31,0,172,3,1,1,2524,1,1,0,1,0,0,4,0,0,1,0,0,0,0,0,0,5,0,0,0
25,0,239,3,1,0,2405,1,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,40,14,1
21,0,93,3,0,0,4745,1,1,0,0,0,0,3,1,0,1,0,0,0,0,0,22,7,14,0,0
41,0,343,3,0,0,505,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,4,18,1
18,0,2,3,1,1,5801,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,120,10,22,6,1
31,0,27,2,1,0,3148,1,1,1,1,0,0,0,9,0,1,0,0,0,1,0,59,6,0,0,1
18,0,352,3,1,0,1003,1,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,26,0,26,1
12,0,48,4,0,0,2302,1,1,0,1,0,0,3,2,0,0,0,1,0,1,0,0,2,21,12,0
25,0,164,2,0,0,1218,1,0,0,0,0,0,2,1,0,1,0,0,1,0,0,34,0,6,11,0
21,0,97,2,2,1,4,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,31,0,8,0,0
28,0,89,2,2,0,1555,1,1,0,0,0,0,0,6,0,0,0,0,0,1,0,0,3,17,30,1
19,0,9,2,2,0,2,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,41,26,13,9,1
33,0,79,4,3,0,4868,1,0,0,1,0,0,4,6,0,0,1,0,0,0,0,26,0,26,4,1
25,0,55,4,2,0,3523,1,0,0,0,1,0,3,0,0,1,1,1,0,1,0,162,8,0,0,1
30,0,358,2,1,1,1736,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,4,21,3,0
24,0,162,3,2,1,3146,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0
17,0,187,3,1,0,576,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,15,0,0,0,1
11,0,70,2,0,0,2404,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,120,19,2,0,1
31,0,210,2,1,0,2,1,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,17,1
32,0,190,2,1,0,3452,1,1,0,1,0,0,2,4,0,0,1,0,0,0,0,0,26,3,8,1
31,0,190,2,0,0,599,0,0,1,0,1,0,3,3,0,0,1,0,0,1,0,93,12,0,29,1
25,0,266,4,1,1,3020,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,57,0,0,2,0
28,0,221,2,1,0,4575,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,0,28,0,0
25,0,168,3,2,0,4203,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,33,26,32,0,0
28,0,131,4,1,0,3572,1,0,1,1,0,0,0,4,0,0,0,0,0,0,0,103,6,0,4,0
25,0,76,3,0,0,273,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,81,36,0,16,0
15,0,206,3,2,0,2,1,0,0,0,0,0,0,8,0,1,0,0,1,0,0,0,23,11,5,1
36,0,232,2,2,0,2,1,0,1,1,0,0,0,4,0,1,0,0,1,1,0,66,9,29,5,1
32,0,198,3,1,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,20,10,9,7,0
26,0,26,4,2,0,2,1,1,0,0,0,0,0,3,0,1,1,0,0,0,0,130,42,0,1,1
22,0,189,2,2,0,2,1,1,1,1,0,0,4,3,0,1,0,0,0,1,0,9,17,0,8,1
36,0,100,3,1,1,1477,1,0,0,1,0,0,3,6,0,1,1,0,0,0,0,48,0,19,0,0
18,0,94,2,1,1,1636,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,21,0
22,0,33,4,1,1,2549,1,1,0,1,0,0,2,0,0,1,1,0,0,1,0,0,9,0,15,1
26,0,197,3,1,0,2,1,0,0,1,0,0,0,3,0,1,1,0,0,0,0,4,18,12,0,1
29,0,207,3,1,0,5086,1,1,1,1,0,0,4,10,0,0,0,0,0,0,0,58,0,28,0,0
31,0,32,2,1,0,498,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,11,7,16,24,0
17,0,2,3,2,0,2557,1,1,0,1,0,0,0,7,0,0,1,0,0,1,0,187,0,25,11,1
19,0,143,2,1,0,2,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,52,2,7,0,1
11,0,200,2,2,0,3422,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,88,3,32,3,1
25,0,310,3,0,0,3827,1,1,0,0,0,0,0,4,0,1,1,0,0,0,0,0,7,14,17,1
20,0,156,3,0,1,1432,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,34,0,0,1
27,0,84,2,2,1,2,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,85,0,12,0,1
6,0,73,3,1,0,1362,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,91,10,3,6,1
8,0,20,2,1,0,2029,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,81,0,0,8,1
21,0,118,2,2,0,2,1,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,15,12,0,0
26,0,87,2,1,1,2,1,0,1,1,0,0,6,2,0,0,0,1,0,1,0,58,2,32,0,1
16,0,149,3,1,1,3354,1,1,0,0,0,0,0,6,0,1,1,0,1,0,0,92,0,19,14,1
10,0,124,2,1,0,1270,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,159,2,30,0,0
23,0,63,2,2,1,2,1,0,0,0,0,0,0,12,0,0,1,0,0,1,0,5,0,37,20,1
20,0,2,4,1,0,2,1,1,1,1,0,0,0,4,0,0,0,0,0,1,0,11,14,12,5,0
29,0,2,3,2,0,634,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0
26,0,121,2,1,0,1988,1,1,0,1,0,0,0,2,0,1,0,0,0,0,0,7,4,0,0,0
19,0,75,3,3,0,3008,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,71,15,0,3,0
35,0,2,4,1,0,1298,1,1,1,1,0,0,4,9,0,1,1,0,0,0,0,122,0,16,9,1
24,0,303,3,1,0,2,1,1,0,1,0,0,0,2,0,1,0,0,1,0,0,46,18,0,20,1
15,0,170,4,1,1,2,1,0,0,0,0,0,2,1,0,1,0,0,0,1,0,45,7,22,29,0
11,0,125,3,2,0,1144,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,166,2,0,0,1
16,0,275,2,1,1,2836,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,14,34,1,0
35,0,163,3,1,0,3033,1,1,0,1,0,0,1,2,0,1,1,0,1,1,0,0,3,18,0,0
18,0,87,4,1,0,1389,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,105,3,14,0,0
19,0,169,3,1,0,1506,1,0,1,1,0,0,0,6,0,1,1,0,0,0,0,0,8,0,21,0
19,0,178,2,0,0,1662,1,0,0,0,0,0,4,1,0,1,1,1,0,0,0,0,0,2,4,1
18,0,87,2,1,0,2,1,1,0,0,0,0,1,4,0,0,0,0,0,0,0,179,3,11,27,0
10,0,78,2,2,0,3719,1,0,0,1,0,0,0,2,0,0,1,0,0,1,0,160,5,1,0,0
34,0,246,3,1,0,2683,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,22,2,39,4,0
28,0,190,3,0,0,2,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,2,4,0,1
12,0,187,4,0,0,2,1,1,0,1,0,0,1,3,0,0,0,0,0,1,0,0,18,37,0,1
21,0,202,3,1,1,3226,1,0,0,1,0,0,0,3,0,1,1,0,1,1,0,0,8,24,10,1
18,0,282,3,2,0,873,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,79,3,0,0,1
28,0,304,3,0,1,2319,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,23,0
12,0,60,3,0,0,2573,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,2,1,1
18,0,98,3,1,0,581,1,1,0,1,0,0,3,1,0,0,0,0,0,0,0,37,15,15,14,1
25,0,66,3,1,0,2091,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,21,0,21,1
13,0,121,2,1,0,1271,1,1,1,1,0,0,0,5,0,1,0,0,0,0,0,266,3,26,2,1
26,0,177,3,1,1,1798,1,0,1,1,0,0,2,2,0,0,0,1,0,0,0,24,19,12,0,0
24,0,139,2,1,0,2565,1,0,0,1,0,0,2,4,0,0,0,0,0,1,0,76,28,0,5,0
30,0,27,4,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0
41,0,110,3,1,0,1079,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,186,0,29,0,0
17,0,199,3,1,0,4665,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,40,3,21,0,1
17,0,170,2,0,0,336,1,0,0,1,0,0,4,0,0,0,1,0,1,1,0,0,2,35,4,1
16,0,256,3,2,0,2,1,1,0,1,0,0,0,6,0,1,0,0,0,0,0,0,0,54,13,0
28,0,95,2,3,0,2,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,40,0,5,0,0
25,0,259,2,1,0,711,1,1,1,0,0,0,0,3,0,1,1,0,0,0,0,134,1,16,0,0
19,0,2,3,1,1,3320,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,74,4,29,0,1
27,0,217,3,1,0,1639,1,1,0,1,1,0,2,0,0,1,1,0,0,1,0,110,0,0,0,0
30,0,169,2,1,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,108,17,12,15,1
18,0,317,4,1,0,3064,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,27,17,0,0,0
24,0,142,3,1,0,774,1,0,1,1,0,0,3,3,0,0,0,1,0,0,0,152,0,23,11,0
14,0,174,2,2,1,1028,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,17,6,14,0
18,0,191,2,1,0,3233,1,1,0,0,1,0,0,4,0,0,0,0,0,0,0,217,20,10,0,1
31,0,110,3,1,0,3283,1,1,1,0,0,0,1,4,0,0,0,0,0,0,0,101,28,7,20,0
27,0,98,3,1,0,3059,1,0,1,0,0,0,1,2,0,0,0,0,1,0,0,117,15,0,10,0
11,0,134,2,1,0,1748,1,0,1,1,0,0,2,6,0,1,1,0,0,1,0,0,0,2,0,0
4,0,249,3,1,1,353,1,1,1,0,0,0,0,6,0,0,1,0,0,0,0,153,3,0,26,0
21,0,115,2,2,0,1619,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,20,6,0
21,0,100,2,2,1,3385,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,44,12,11,9,1
35,0,77,3,3,0,190,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,1
21,0,54,3,1,0,2,0,1,0,1,1,0,6,0,1,0,0,0,0,1,0,110,8,25,25,1
22,0,128,3,2,0,2,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,14,22,1,0
26,0,2,3,1,0,5749,1,0,0,1,0,0,0,2,0,1,0,0,0,1,0,13,3,14,15,1
13,0,100,3,1,1,1543,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,14,17,0,1
16,0,262,2,1,0,812,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,1,1
4,0,173,2,1,0,1678,1,0,1,1,0,0,0,7,0,1,0,0,0,1,0,0,5,36,0,0
39,0,68,2,1,1,2229,1,0,1,0,0,0,4,4,0,1,0,0,0,0,0,21,0,10,24,1
22,0,180,2,1,1,3629,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,118,0,4,5,0
27,0,74,3,1,0,3364,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,102,6,29,12,0
13,0,216,2,2,0,788,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,7,15,2,0,1
5,0,23,3,1,0,2,1,0,0,1,0,0,3,7,0,1,1,0,0,0,0,38,12,41,0,1
24,0,46,2,1,0,4412,0,1,0,0,1,0,4,0,0,0,1,0,1,0,0,129,15,3,0,1
34,0,95,4,0,0,2,0,1,0,1,0,0,1,6,0,0,0,0,0,0,0,99,15,0,3,0
24,0,22,3,1,0,1949,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,4,29,20,1
28,0,35,4,1,1,2,1,0,1,0,0,0,8,1,0,0,1,0,1,0,0,13,6,8,0,0
28,0,298,2,1,0,1565,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,59,8,32,0,0
21,0,2,3,1,0,154,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,13,3,16,13,0
9,0,263,2,2,0,2,1,1,1,0,0,0,0,8,0,0,1,0,0,0,0,105,0,0,2,1
11,0,46,3,2,0,930,1,0,0,0,0,0,3,0,0,0,1,1,0,0,0,60,7,11,0,1
31,0,86,3,1,0,694,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,17,16,0,0
20,0,99,2,1,0,394,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,109,8,20,9,0
25,0,2,3,0,0,2,1,0,1,1,0,0,4,0,0,0,0,0,0,0,0,14,9,0,0,0
35,0,149,3,1,1,515,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,84,0,24,0,1
7,0,5,2,1,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,23,0,6,1
17,0,219,2,2,0,1443,1,0,0,1,0,0,0,6,0,1,1,0,0,1,0,45,11,34,0,0
29,0,11,3,0,0,2170,1,0,0,1,0,0,1,4,0,1,1,0,0,0,0,86,20,12,0,0
21,0,76,4,2,0,1446,0,0,1,1,0,0,0,4,0,1,0,0,0,1,0,0,20,11,6,0
8,0,136,3,2,0,430,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,115,4,23,29,1
19,0,76,3,2,0,2,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,27,0,17,26,0
26,0,69,2,2,0,2,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,145,0,17,0,1
13,0,290,3,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,68,0,0,28,1
9,0,132,2,1,0,6724,0,0,0,1,1,0,1,7,0,0,1,0,0,0,0,55,4,2,0,1
28,0,122,3,1,0,614,1,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,6,21,0,0
23,0,58,4,2,0,2,1,0,0,0,0,0,0,3,0,0,1,0,1,0,0,57,12,18,0,0
30,0,62,2,1,0,432,1,1,1,0,1,0,3,3,0,1,1,0,0,0,0,107,4,6,0,1
